"","GOI","Freq"
"110","ENSG00000115758.13",9
"154","ENSG00000128016.7",9
"334","ENSG00000175793.12",9
"138","ENSG00000124664.11",8
"250","ENSG00000158715.6",8
"386","ENSG00000198786.2",8
"394","ENSG00000204388.7",8
"491","ENSG00000261061.1",8
"114","ENSG00000116741.8",7
"165","ENSG00000130222.11",7
"317","ENSG00000170421.12",5
"320","ENSG00000171223.6",5
"379","ENSG00000197956.10",5
"468","ENSG00000237973.1",5
"299","ENSG00000167751.13",4
"419","ENSG00000211689.7",4
"464","ENSG00000232573.1",4
"93","ENSG00000109472.14",3
"121","ENSG00000118523.6",3
"145","ENSG00000125534.10",3
"203","ENSG00000141741.12",3
"319","ENSG00000171222.10",3
"390","ENSG00000199753.1",3
"5","ENSG00000008988.11",2
"36","ENSG00000084207.18",2
"344","ENSG00000182154.8",2
"365","ENSG00000187840.5",2
"374","ENSG00000196205.8",2
"383","ENSG00000198502.6",2
"455","ENSG00000228253.1",2
"462","ENSG00000230202.1",2
